District name,District ID,Primary role,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Address line 1,Address line 2,Locality,Postal code,Province,Phone,Fax,Facebook,Twitter,Personal Website
Toronto,,Mayor,John,Tory,,,mayor_tory@toronto.ca,http://www1.toronto.ca/City%20Of%20Toronto/Office%20of%20the%20Mayor/John%20Tory/Photo%20Gallery/john-tory-2014-crop3_medium_180wide.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=e53332d0b6d1e310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=e53332d0b6d1e310VgnVCM10000071d60f89RCRD,Toronto City Hall,"2nd Floor, 100 Queen Street West",Toronto,M5H 2N2,Ontario,416-397-2489,416-338-7125,,https://twitter.com/johntory,
Etobicoke North ,1,Councillor,Vincent,Crisanti,,,councillor_crisanti@toronto.ca,http://www1.toronto.ca/City%20Of%20Toronto/City%20Clerks/Councillors/vcrisanti.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=c0693293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=c0693293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite C54",Toronto,M5H 2N2,Ontario,416-392-0205,416-696-4207,,,
Etobicoke North ,2,Councillor,Michael ,Ford,,,councillor_mford@toronto.ca,http://www1.toronto.ca/City%20Of%20Toronto/City%20Clerks/Councillors/Files/images/M/m-ford.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=d7f990a731f93510VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=d7f990a731f93510VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite C40",Toronto,M5H 2N2,Ontario,416-397-9255,416-397-9238,,,
Etobicoke Centre,3,Councillor,Stephen ,Holyday,,,councillor_holyday@toronto.ca,http://www1.toronto.ca/City%20Of%20Toronto/City%20Clerks/Councillors/Files/images/s-holyday.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=ecd39a50a6689410VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=ecd39a50a6689410VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite B26",Toronto,M5H 2N2,Ontario,416-392-4002,416-392-4004,,,
Etobicoke Centre,4,Councillor,John,Campbell,,,Councillor_Campbell@toronto.ca,http://www1.toronto.ca/City%20Of%20Toronto/City%20Clerks/Councillors/Files/images/j-campbell.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=e4f19a50a6689410VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=e4f19a50a6689410VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite B24",Toronto,M5H 2N2,Ontario,416-392-1369,416-696-4138,,,
Etobicoke-Lakeshore ,5,Councillor,Justin,Di Ciano,,,Councillor_DiCiano@toronto.ca,http://www1.toronto.ca/City%20Of%20Toronto/City%20Clerks/Councillors/Files/images/J/j-diciano.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=f2639a50a6689410VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=f2639a50a6689410VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite C51",Toronto,M5H 2N2,Ontario,416-392-4040,416-392-4127,https://www.facebook.com/Councillor-Justin-Di-Ciano-1514233862162849/,https://mobile.twitter.com/JustinDiCiano,http://www.councillordiciano.ca/
Etobicoke-Lakeshore ,6,Councillor,Mark,Grimes,,,councillor_grimes@toronto.ca,http://www1.toronto.ca/City%20Of%20Toronto/City%20Clerks/Councillors/Files/images/M/mgrimes.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=c7793293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=c7793293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite C48",Toronto,M5H 2N2,Ontario,416-397-9273,416-397-9279,,,http://www.markgrimes.ca/
York West,7,Councillor,Giorgio,Mammoliti,,,councillor_mammoliti@toronto.ca,http://www1.toronto.ca/city_of_toronto/city_clerks/councillors/files/images/gmammoliti.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=d5893293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=d5893293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite B27",Toronto,M5H 2N2,Ontario,416-395-6401,416-397-9282,,,http://www.giorgiomammoliti.ca/
York West,8,Councillor,Anthony,Perruzza,,,councillor_perruzza@toronto.ca,http://www1.toronto.ca/city_of_toronto/city_clerks/councillors/files/images/aperruzza.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=83493293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=83493293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite C41",Toronto,M5H 2N2,Ontario,416-338-5335,416-696-4144,,,
York Centre,9,Councillor,Maria,Augimeri,,,councillor_augimeri@toronto.ca,http://www1.toronto.ca/city_of_toronto/city_clerks/councillors/files/images/maugimeri.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=63a93293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=63a93293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite C53",Toronto,M5H 2N2,Ontario,416-392-4021,416-392-7109,,,http://www.mariaaugimeri.com/
